id	type	description_short
135	Weapon 	Samurai Longsword
136	EtcItem 	(Not In Use)
137	EtcItem 	(Not In Use)
138	EtcItem 	(Not In Use)
139	EtcItem 	Sudden Agathion 7-Day Pack
140	EtcItem 	Shiny Agathion 7-Day Pack
141	EtcItem 	Sobbing Agathion 7-Day Pack
142	Weapon 	Keshanberk
143	Weapon 	Sword of Mystic
144	Weapon 	Sword of Occult
145	Weapon 	Sword of Whispering Death
146	Weapon 	Ghoulbane
147	Weapon 	Tear of Darkness
148	Weapon 	Sword of Valhalla
149	Weapon 	Sword of Life
150	Weapon 	Elemental Sword
151	Weapon 	Sword of Miracles
152	Weapon 	Heavy Chisel
153	Weapon 	Sigil
154	Weapon 	Dwarven Mace
155	Weapon 	Flanged Mace
156	Weapon 	Hand Axe
157	Weapon 	Spiked Club
158	Weapon 	Tarbar
159	Weapon 	Bonebreaker
160	Weapon 	Battle Axe
161	Weapon 	Silver Axe
162	Weapon 	War Axe
163	EtcItem 	(Not In Use)
164	Weapon 	Elysian
165	Weapon 	Yablonski's Hammer
166	Weapon 	Heavy Mace
167	Weapon 	Scalpel
168	Weapon 	Work Hammer
169	Weapon 	Skull Breaker
170	EtcItem 	Sudden Agathion 7-Day Pack (Event)
171	Weapon 	Deadman's Glory
172	Weapon 	Heavy Bone Club
173	Weapon 	Skull Graver
174	Weapon 	Nirvana Axe
175	Weapon 	Art of Battle Axe
176	Weapon 	Apprentice's Staff
177	Weapon 	Mage Staff
178	Weapon 	Bone Staff
179	Weapon 	Mace of Prayer
180	Weapon 	Mace of Judgment
181	Weapon 	Mace of Miracle
182	Weapon 	Doom Hammer
183	Weapon 	Mystic Staff
184	Weapon 	Conjuror's Staff
185	Weapon 	Staff of Mana
186	Weapon 	Staff of Magic
187	Weapon 	Atuba Hammer
188	Weapon 	Ghost Staff
189	Weapon 	Staff of Life
190	Weapon 	Atuba Mace
191	Weapon 	Heavy Doom Hammer
192	Weapon 	Crystal Staff
193	Weapon 	Stick of Faith
194	Weapon 	Heavy Doom Axe
195	Weapon 	Cursed Staff
196	Weapon 	Stick of Eternity
197	Weapon 	Paradia Staff
198	Weapon 	Inferno Staff
199	Weapon 	Pa'agrian Hammer
200	Weapon 	Sage's Staff
201	Weapon 	Club of Nature
202	Weapon 	Mace of Underworld
203	Weapon 	Pa'agrian Axe
204	Weapon 	Deadman's Staff
205	Weapon 	Ghoul's Staff
206	Weapon 	Demon's Staff
207	Weapon 	Staff of Phantom
208	Weapon 	Staff of Seal
209	Weapon 	Divine Staff
210	Weapon 	Staff of Evil Spirits
211	Weapon 	Staff of Nobility
212	Weapon 	Dasparion's Staff
213	Weapon 	Branch of the Mother Tree
214	Weapon 	The Staff
215	Weapon 	Doom Dagger
216	Weapon 	Dirk
217	Weapon 	Shining Knife
218	Weapon 	Throwing Knife
219	Weapon 	Sword Breaker
220	Weapon 	Crafted Dagger
221	Weapon 	Assassin Knife
222	Weapon 	Poniard Dagger
223	Weapon 	Kukuri
224	Weapon 	Maingauche
225	Weapon 	Mithril Dagger
226	Weapon 	Cursed Dagger
227	Weapon 	Stiletto
228	Weapon 	Crystal Dagger
229	Weapon 	Kris
230	Weapon 	Wolverine Needle
231	Weapon 	Grace Dagger
232	Weapon 	Dark Elven Dagger
233	Weapon 	Dark Screamer
234	Weapon 	Demon's Dagger
235	Weapon 	Bloody Orchid
236	Weapon 	Soul Separator
237	Weapon 	Dragon's Tooth
238	Weapon 	Dagger of Mana
239	Weapon 	Mystic Knife
240	Weapon 	Conjurer's Knife
241	Weapon 	Shilen Knife
242	Weapon 	Soulfire Dirk
243	Weapon 	Hell Knife
244	Weapon 	Elven Fighter Fist
245	Weapon 	Dark Fighter Fist
246	Weapon 	Human Fighter Fist
247	Weapon 	Dwarven Fighter Fist
248	Weapon 	Orc Fighter Fist
249	Weapon 	Elven Mystic Fist
250	Weapon 	Dark Mystic Fist
251	Weapon 	Human Mystic Fist
252	Weapon 	Orc Shaman Fist
253	Weapon 	Spiked Gloves
254	Weapon 	Iron Gloves
255	Weapon 	Fox Claw Gloves
256	Weapon 	Cestus
257	Weapon 	Viper Fang
258	Weapon 	Bagh-Nakh
259	Weapon 	Single-Edged Jamadhr
260	Weapon 	Triple-Edged Jamadhr
261	Weapon 	Bich'Hwa
262	Weapon 	Scallop Jamadhr
263	Weapon 	Chakram
264	Weapon 	Pata
265	Weapon 	Fisted Blade
266	Weapon 	Great Pata
267	Weapon 	Arthro Nail
268	Weapon 	Bellion Cestus
269	Weapon 	Blood Tornado
270	Weapon 	Dragon Grinder
271	Weapon 	Hunting Bow
272	Weapon 	Forest Bow
273	Weapon 	Composite Bow
274	Weapon 	Reinforced Bow
275	Weapon 	Long Bow
276	Weapon 	Elven Bow
277	Weapon 	Dark Elven Bow
278	Weapon 	Gastraphetes
279	Weapon 	Reinforced Long Bow
280	Weapon 	Light Crossbow
281	Weapon 	Crystallized Ice Bow
282	Weapon 	Elemental Bow
283	Weapon 	Akat Long Bow
284	Weapon 	Dark Elven Long Bow
285	Weapon 	Noble Elven Bow
286	Weapon 	Eminence Bow
287	Weapon 	Bow of Peril
288	Weapon 	Carnage Bow
289	Weapon 	Soul Bow
290	Weapon 	The Bow
291	Weapon 	Trident
292	Weapon 	Pike
293	Weapon 	War Hammer
294	Weapon 	War Pick
295	Weapon 	Dwarven Trident
296	Weapon 	Dwarven Pike
297	Weapon 	Glaive
298	Weapon 	Orcish Glaive
299	Weapon 	Orcish Poleaxe
300	Weapon 	Great Axe
301	Weapon 	Scorpion
302	Weapon 	Body Slasher
303	Weapon 	Widow Maker
304	Weapon 	Orcish Halberd
305	Weapon 	Tallum Glaive
306	Weapon 	Dragon Claw Axe
307	Weapon 	Aurakyria Lance
308	Weapon 	Buffalo's Horn
309	Weapon 	Tears of Eva
310	Weapon 	Relic of the Saints
311	Weapon 	Crucifix of Blessing
312	Weapon 	Branch of Life
313	Weapon 	Temptation of Abyss
314	Weapon 	Proof of Revenge
315	Weapon 	Divine Tome
316	Weapon 	Sage's Blood
317	Weapon 	Tome of Blood
318	Weapon 	Crucifix of Blood
319	Weapon 	Eye of Infinity
320	Weapon 	Blue Crystal Skull
321	Weapon 	Demon Fangs
322	Weapon 	Vajra Wands
323	Weapon 	Ancient Reagent
324	Weapon 	Tears of Fairy
325	Weapon 	Horn of Glory
326	Weapon 	Heathen's Book
327	Weapon 	Hex Doll
328	Weapon 	Candle of Wisdom
329	Weapon 	Blessed Branch
330	Weapon 	Phoenix Feather
331	Weapon 	Cerberus Eye
332	Weapon 	Scroll of Destruction
333	Weapon 	Claws of Black Dragon
334	Weapon 	Three Eyed Crow's Feather
335	Weapon 	Soul Crystal
336	Weapon 	Scroll of Mana
337	Weapon 	Scroll of Massacre
338	Weapon 	Wyvern's Skull
339	Weapon 	Blood Crystal
340	Weapon 	Unicorn's Horn
341	Weapon 	Forgotten Tome
342	Weapon 	Enchanted Flute
343	Weapon 	Headless Arrow
344	Weapon 	Proof of Overlord
345	Weapon 	Deathbringer Sword
346	Weapon 	Tears of Fallen Angel
347	Armor 	Ring Mail Breastplate
348	Armor 	Scale Mail
349	Armor 	Compound Scale Mail
350	Armor 	Dwarven Scale Mail
351	Armor 	Blast Plate
352	Armor 	Brigandine Tunic
353	Armor 	Half Plate Armor
354	Armor 	Chain Mail Shirt
355	Armor 	Dwarven Chain Mail Shirt
356	Armor 	Full Plate Armor
357	Armor 	Zubei's Breastplate
358	Armor 	Blue Wolf Breastplate
359	Armor 	Shining Dragon Armor
360	Armor 	Armor of Victory
361	Armor 	Breastplate of Valor
362	Armor 	Glorious Armor
363	Armor 	Red Flame Armor
364	Armor 	Elven Crystal Breastplate
365	Armor 	Dark Crystal Breastplate
366	Armor 	Implosion Armor
367	Armor 	Dark Dragon Armor
368	Armor 	Elven Vagian Armor
369	Armor 	Dark Vagian Armor
370	Armor 	Complete Set of Plate Armor
371	Armor 	Hell Plate
372	Armor 	Art of Plate
373	Armor 	Masterpiece Armor
374	Armor 	Armor of Nightmare
375	Armor 	Dragon Scale Mail
376	Armor 	Iron Plate Gaiters
377	Armor 	Scale Gaiters
378	Armor 	Compound Scale Gaiters
379	Armor 	Dwarven Scale Gaiters
380	Armor 	Plate Gaiters
381	Armor 	Chain Gaiters
382	Armor 	Dwarven Chain Gaiters
383	Armor 	Zubei's Gaiters
384	Armor 	Wolf Gaiters
385	Armor 	Gaiters of Victory
386	Armor 	Gaiters of Valor
387	Armor 	Elven Crystal Gaiters
388	Armor 	Dark Crystal Gaiters
389	Armor 	Dragon Scale Gaiters
390	Armor 	Cotton Shirt
391	Armor 	Puma Skin Shirt
392	Armor 	Lion Skin Shirt
393	Armor 	Mithril Banded Mail
394	Armor 	Reinforced Leather Shirt
395	Armor 	Manticore Skin Shirt
396	Armor 	Salamander Skin Mail
397	Armor 	Mithril Shirt
398	Armor 	Plated Leather
399	Armor 	Rind Leather Armor
400	Armor 	Theca Leather Armor
401	Armor 	Drake Leather Armor
402	Armor 	Chain Mail of Silence
403	Armor 	Gust Chain Mail
404	Armor 	Prairie Leather Armor
405	Armor 	Leather Armor of Underworld
406	Armor 	Leather Armor of Concentration
407	Armor 	Ace's Leather Armor
408	Armor 	Guardian's Leather Armor
409	Armor 	Marksman's Leather Armor
410	Armor 	Unicorn Leather Armor
411	Armor 	Dragon Leather Armor
412	Armor 	Cotton Pants
413	Armor 	Puma Skin Gaiters
414	Armor 	Lion Skin Gaiters
415	Armor 	Mithril Banded Gaiters
416	Armor 	Reinforced Leather Gaiters
417	Armor 	Manticore Skin Gaiters
418	Armor 	Plated Leather Gaiters
419	Armor 	Rind Leather Gaiters
420	Armor 	Theca Leather Gaiters
421	Armor 	Prairie Leather Gaiters
422	Armor 	Gaiters of Underworld
423	Armor 	Guardian's Leather Gaiters
424	Armor 	Marksman's Leather Gaiters
425	Armor 	Apprentice's Tunic
426	Armor 	Tunic
427	Armor 	Cotton Robe
428	Armor 	Feriotic Tunic
429	Armor 	Leather Tunic
430	Armor 	Robe of Devotion
431	Armor 	Robe of Magic
432	Armor 	Cursed Tunic
433	Armor 	Elven Tunic
434	Armor 	White Tunic
435	Armor 	Mystic's Tunic
436	Armor 	Tunic of Knowledge
437	Armor 	Mithril Tunic
438	Armor 	Sage's Rag
439	Armor 	Karmian Tunic
440	Armor 	Robe of Seal
441	Armor 	Demon's Tunic
442	Armor 	Divine Tunic
443	Armor 	Tunic of Mana
444	Armor 	Sage's Robe
445	Armor 	Paradia Tunic
446	Armor 	Inferno Tunic
447	Armor 	Tunic of Solar Eclipse
448	Armor 	Robe of Black Ore
449	Armor 	Tunic of Summoning
450	Armor 	Otherworldly Robe
451	Armor 	Elemental Tunic
452	Armor 	Tunic of Phantom
453	Armor 	Tunic of Grace
454	Armor 	Robe of Holy Spirit
455	Armor 	Phoenix Tunic
456	Armor 	Cerberus Tunic
457	Armor 	Tunic of Aid
458	Armor 	Robe of Blessing
459	Armor 	Dasparion's Robe
460	Armor 	The Robe
461	Armor 	Apprentice's Stockings
462	Armor 	Stockings
463	Armor 	Feriotic Stockings
464	Armor 	Leather Stockings
465	Armor 	Cursed Stockings
466	Armor 	Elven Stockings
467	Armor 	Dark Stockings
468	Armor 	Mystic's Stockings
469	Armor 	Stockings of Knowledge
470	Armor 	Mithril Stockings
471	Armor 	Karmian Stockings
472	Armor 	Demon's Stockings
473	Armor 	Divine Stockings
474	Armor 	Stockings of Mana
475	Armor 	Paradia Stockings
476	Armor 	Inferno Stockings
477	Armor 	Stockings of Solar Eclipse
478	Armor 	Stockings of Summoning
479	Armor 	Elemental Stockings
480	Armor 	Stockings of Phantom
481	Armor 	Stockings of Grace
482	Armor 	Phoenix Stockings
483	Armor 	Cerberus Stockings
484	Armor 	Stockings of Aid
485	Armor 	Tattoo of Power
486	Armor 	Tattoo of Fire
487	Armor 	Tattoo of Resolve
488	Armor 	Tattoo of Flame
489	Armor 	Tattoo of Bravery
490	Armor 	Tattoo of Blood
491	Armor 	Tattoo of Absolute
492	Armor 	Tattoo of Soul
493	Armor 	Tattoo of Avadon
494	Armor 	Tattoo of Doom
495	Armor 	Tattoo of Pledge
496	Armor 	Tattoo of Divine
497	Armor 	Chain Helmet
498	Armor 	Steel Plate Helmet
499	Armor 	Mithril Helmet
500	Armor 	Great Helmet
501	Armor 	Armet
502	Armor 	Close Helmet
503	Armor 	Zubei's Helmet
504	Armor 	Dragon Helmet
505	Armor 	Wolf Helmet
506	Armor 	Shining Dragon Helmet
507	Armor 	Helmet of Victory
508	Armor 	Helmet of Valor
509	Armor 	Glorious Helmet
510	Armor 	Red Flame Helmet
511	Armor 	Elven Crystal Helmet
512	Armor 	Dark Crystal Helmet
513	Armor 	Implosion Helmet
514	Armor 	Dark Dragon Helmet
515	Armor 	Elven Vagian Helm
516	Armor 	Dark Vagian Helm
517	Armor 	Composite Helmet
518	Armor 	Hell Helm
519	Armor 	Art of Helmet
520	Armor 	Masterpiece Helm
521	Armor 	Helmet of Silence
522	Armor 	Gust Helmet
523	Armor 	Prairie Helmet
524	Armor 	Helm of Underworld
525	Armor 	Helmet of Concentration
526	Armor 	Ace's Helmet
527	Armor 	Guardian's Helmet
528	Armor 	Marksman Helmet
529	Armor 	Cap of Mana
530	Armor 	Sage's Cap
531	Armor 	Paradia Hood
532	Armor 	Inferno Hood
533	Armor 	Hood of Solar Eclipse
534	Armor 	Hood of Black Ore
535	Armor 	Hood of Summoning
536	Armor 	Otherworldly Hood
537	Armor 	Elemental Hood
538	Armor 	Hood of Phantom
539	Armor 	Hood of Grace
540	Armor 	Hood of Holy Spirit
541	Armor 	Phoenix Hood
542	Armor 	Cerberus Hood
543	Armor 	Hood of Aid
544	Armor 	Hood of Blessing
545	Armor 	Flame Helm
546	Armor 	Helm of Bravery
547	Armor 	Tallum Helm
548	Armor 	Absolute Helm
549	Armor 	Helm of Avadon
550	Armor 	Helm of Doom
551	Armor 	Helmet of Pledge
552	Armor 	Divine Helm
553	Armor 	Iron Boots
554	Armor 	Sealed Zubei's Boots
555	Armor 	Dragon Boots
556	Armor 	Wolf Boots
557	Armor 	Shining Dragon Boots
558	Armor 	Boots of Victory
559	Armor 	Boots of Valor
560	Armor 	Glorious Boots
561	Armor 	Red Flame Boots
562	Armor 	Elven Crystal Boots
563	Armor 	Dark Crystal Boots
564	Armor 	Implosion Boots
565	Armor 	Dark Dragon Boots
566	Armor 	Elven Vagian Boots
567	Armor 	Dark Vagian Boots
568	Armor 	_
569	Armor 	Hell Boots
570	Armor 	Art of Boots
571	Armor 	Masterpiece Boots
572	Armor 	Boots of Silence
573	Armor 	Gust Boots
574	Armor 	Prairie Boots
575	Armor 	Boots of Underworld
576	Armor 	Boots of Concentration
577	Armor 	Ace's Boots
578	Armor 	Guardian's Boots
579	Armor 	Marksman Boots
580	Armor 	Boots of Mana
581	Armor 	Sage's Boots
582	Armor 	Paradia Boots
583	Armor 	Majestic Boots
584	Armor 	Boots of Solar Eclipse
585	Armor 	Boots of Black Ore
586	Armor 	Boots of Summoning
587	Armor 	Otherworldly Boots
588	Armor 	Elemental Boots
589	Armor 	Boots of Phantom
590	Armor 	Boots of Grace
591	Armor 	Boots of Holy Spirit
592	Armor 	Phoenix Boots
593	Armor 	Cerberus Boots
594	Armor 	Boots of Aid
595	Armor 	Boots of Blessing
596	Armor 	Flame Boots
597	Armor 	Boots of Bravery
598	Armor 	Blood Boots
599	Armor 	Absolute Boots
600	Armor 	Sealed Avadon Boots
601	Armor 	Sealed Doom Boots
602	Armor 	Boots of Pledge
603	Armor 	Divine Boots
604	Armor 	Crafted Leather Gloves
605	Armor 	Leather Gauntlets
606	Armor 	Rip Gauntlets
607	Armor 	Ogre Power Gauntlets
608	Armor 	Mithril Gauntlets
609	Armor 	Gauntlets of Ghost
610	Armor 	Saint Knight's Gauntlets
611	Armor 	Soul Leech Gauntlets
612	Armor 	Sealed Zubei's Gauntlets
613	Armor 	Sand Dragon Gloves
614	Armor 	Knight's Cloak
615	Armor 	Cobweb Cloak
616	Armor 	Cloak of Magic
617	Armor 	Mithril Cloak
618	Armor 	Cloak of Self Protection
619	Armor 	(Not In Use) Ancient Cloak
620	Armor 	Cloak of Protection
621	Armor 	Cloak of Hell
622	Armor 	(Not In Use) Holy Spirit's Cloak
623	Armor 	Divine Cloak
624	Armor 	Cloak of Invisibility
625	Armor 	Bone Shield
626	Armor 	Bronze Shield
627	Armor 	Aspis
628	Armor 	Hoplon
629	Armor 	Kite Shield
630	Armor 	Square Shield
631	Armor 	Eldarake
632	Armor 	Knight's Shield
633	Armor 	Zubei's Shield
634	Armor 	Dragon Shield
635	Armor 	Wolf Shield
636	Armor 	Shining Dragon Shield
637	Armor 	Shield of Valor
638	Armor 	Glorious Shield
639	Armor 	Red Flame Shield
640	Armor 	Elven Crystal Shield
641	Armor 	Dark Crystal Shield
642	Armor 	Elven Vagian Shield
643	Armor 	Dark Vagian Shield
644	Armor 	Hell Shield
645	Armor 	Art of Shield
646	Armor 	Shield of Silence
647	Armor 	Gust Shield
648	Armor 	Prairie Shield
649	Armor 	Shield of Underworld
650	Armor 	Shield of Concentration
651	Armor 	Ace's Shield
652	Armor 	Guardian's Shield
653	Armor 	Marksman Shield
654	Armor 	Shield of Mana
655	Armor 	Sage's Shield
656	Armor 	Paradia Shield
657	Armor 	Inferno Shield
658	Armor 	Shield of Black Ore
659	Armor 	Shield of Summoning
660	Armor 	Otherworldly Shield
661	Armor 	Elemental Shield
662	Armor 	Shield of Phantom
663	Armor 	Shield of Grace
664	Armor 	Shield of Holy Spirit
665	Armor 	Phoenix Shield
666	Armor 	Cerberus Shield
667	Armor 	Shield of Aid
668	Armor 	Shield of Blessing
669	Armor 	Flame Shield
670	Armor 	Shield of Bravery
671	Armor 	Blood Shield
672	Armor 	Absolute Shield
673	Armor 	Avadon Shield
674	Armor 	Divine Shield
675	Armor 	Silk Yarn Undergarment Set
676	Armor 	Pure White Undergarment Set
677	Armor 	One-Piece Swimsuit
678	Armor 	Bikini Set
679	Armor 	Cursed Undergarment Set
680	Armor 	Mithril Undergarment Set
681	Armor 	Fascination Undergarment Set
682	Armor 	Demon's Undergarment Set
683	Armor 	Holy Undergarment Set
684	Armor 	Underwear of Rule
685	Armor 	Crystal Swimsuit Set
686	EtcItem 	Chair
687	EtcItem 	Darin's Letter
688	EtcItem 	Roxxy's Kerchief
689	EtcItem 	Poetry Book
690	EtcItem 	Lyrics Book
691	EtcItem 	Romance Novel
692	EtcItem 	Arujien's Letter
693	EtcItem 	Greenis's Letter
694	EtcItem 	Ingredient List
695	EtcItem 	Omen Beast's Blood
696	EtcItem 	Mana Seeker's Husk
697	EtcItem 	Gargoyle's Horn
698	EtcItem 	Gilbert's List
699	EtcItem 	Orc's Nose
700	EtcItem 	_
701	EtcItem 	Fungus Juice
702	EtcItem 	Wolf Pelt
703	EtcItem 	Giant Spider's Poison Sac
704	EtcItem 	Fever Medicine
705	EtcItem 	_
706	EtcItem 	Basilisk's Claw
707	EtcItem 	Spore Sac
708	EtcItem 	Sylph Headband
709	EtcItem 	Leather Shirt
710	EtcItem 	Hard Leather Shirt
711	EtcItem 	Piece Bone Breastplate
712	EtcItem 	Half Plate Armor
713	EtcItem 	Leather Pants
714	EtcItem 	Hard Leather Pants
715	EtcItem 	Piece Bone Gaiters
716	EtcItem 	Plate Gaiters
717	EtcItem 	Leather Gloves
718	EtcItem 	Hard Leather Gloves
719	EtcItem 	Crafted Leather Gloves
720	EtcItem 	Reinforced Gloves
721	EtcItem 	Leather Boots
722	EtcItem 	Hard Leather Boots
723	EtcItem 	Crafted Leather Boots
724	EtcItem 	Reinforced Boots
725	EtcItem 	Healing Drug
726	EtcItem 	Mana Drug
727	EtcItem 	Healing Potion
728	EtcItem 	Mana Potion
729	EtcItem 	Scroll: Enchant Weapon (A-Grade)
730	EtcItem 	Scroll: Enchant Armor (A-Grade)
731	EtcItem 	Crystal Scroll: Enchant Weapon (A-Grade)
732	EtcItem 	Crystal Scroll: Enchant Armor (A-Grade)
733	EtcItem 	Endeavor Potion
734	EtcItem 	Haste Potion
735	EtcItem 	Alacrity Potion
736	EtcItem 	Scroll of Escape
737	EtcItem 	Scroll of Resurrection
738	Weapon 	Sword of Solidarity
739	EtcItem 	Broken Sword Handle
740	EtcItem 	Broken Blade Bottom
741	EtcItem 	Broken Blade Top
742	EtcItem 	Altran's Note
743	Weapon 	Sword of Sentinel
744	Weapon 	Staff of Sentinel
745	EtcItem 	Cobendell Medicine
746	EtcItem 	Alberius's List
747	Weapon 	Wand of Adept
748	Weapon 	Gallint's Oak Wand
749	Weapon 	0
750	EtcItem 	Kinship Crystal
751	EtcItem 	Cracked Kinship Crystal
752	EtcItem 	Orc Amulet
753	EtcItem 	Silverleaf Brooch
754	Weapon 	Red Sunset Staff
755	EtcItem 	Colleen's Letter
756	EtcItem 	Mandragora Root
757	EtcItem 	Mandragora Essence
758	EtcItem 	Colleen's Receipt
759	EtcItem 	Etched Rune Sword
760	EtcItem 	Macabre Sword
761	EtcItem 	Thanatos Sword
762	EtcItem 	Gray Bone Chip
763	EtcItem 	Esther's Letter
764	EtcItem 	_
765	EtcItem 	Conspirator List
766	EtcItem 	Sabrin's Signet
767	EtcItem 	Sealed Scroll
768	EtcItem 	Oyen's Key
769	EtcItem 	Ricardo's Skull
770	EtcItem 	_
771	EtcItem 	Saythus's Skull
772	EtcItem 	Trayer's Skull
773	EtcItem 	Falimar's Skull
774	EtcItem 	Fallen Sword of Honor
775	EtcItem 	Sword of Honor
776	EtcItem 	Nameless Sword
777	EtcItem 	Sword of Black Ice
778	EtcItem 	Arodin's Letter
779	EtcItem 	Sabrin's Ring
780	EtcItem 	_
781	EtcItem 	Madclaw's Necklace
782	EtcItem 	Alex's Letter
783	EtcItem 	Alex's Receipt
784	EtcItem 	Glass Dagger
785	EtcItem 	Broken Glass Dagger
786	EtcItem 	Shadowguard Dagger
787	EtcItem 	Coroli's Key
788	EtcItem 	Midnight Onyx Necklace
789	EtcItem 	Song: Moonlight Whisper
790	EtcItem 	Bloodsteel Kris
791	EtcItem 	Karlun's Skull
792	EtcItem 	Karlun's Rib Bone
793	EtcItem 	Karlun's Thigh Bone
794	EtcItem 	Saint's Ash Urn
795	EtcItem 	Mace of Athebaldt
796	EtcItem 	Roien's Letter
797	EtcItem 	Manuel's Letter
798	EtcItem 	Varan's Letter
799	EtcItem 	Groot's Letter
800	EtcItem 	Tome of Nassen
801	EtcItem 	Cursed Tome of Nassen
802	EtcItem 	Bloodthirsty Dagger
803	EtcItem 	Bloody Dagger
804	EtcItem 	Staff of Shane
805	EtcItem 	_
806	EtcItem 	Drake's Claw
807	EtcItem 	Flawless Drake's Claw
808	EtcItem 	Pushkin's Letter
809	EtcItem 	Bone Fragment
810	EtcItem 	Altran's Letter
811	EtcItem 	Oil Paper
812	EtcItem 	_
813	EtcItem 	Heart Stone
814	EtcItem 	Pushkin's Receipt
815	EtcItem 	Leather Strap
816	EtcItem 	_
817	EtcItem 	Mithril Bottle
818	EtcItem 	Grace Unicorn's Horn
819	EtcItem 	Drake's Bone
820	EtcItem 	Zahak Fluids
821	EtcItem 	Bone Knife
822	EtcItem 	Drake Knife
823	EtcItem 	Dull Dagger
824	EtcItem 	Siriel's Note
825	EtcItem 	Raien's Letter
826	EtcItem 	Silver Spores
827	EtcItem 	Star Dust
828	EtcItem 	Song of Awakening
829	EtcItem 	Spirit Dagger
830	EtcItem 	Medallion of Kwyllinas
831	EtcItem 	Echo Crystal
832	EtcItem 	Green Echo Crystal
833	EtcItem 	Red Echo Crystal
