ID	Messagetemplate
97	This item cannot be moved.
98	This item cannot be discarded.
99	This item cannot be traded or sold.
100	$c1 is requesting to trade. Do you wish to continue?
101	You cannot exit while in combat.
102	You cannot restart while in combat.
103	This ID is currently logged in.
104	You may not equip items while casting or performing a skill.
105	$c1 has been invited to the party.
106	You have joined $s1's party.
107	$c1 has joined the party.
108	$c1 has left the party.
109	Invalid target.
110	$s1 $s2's effect can be felt.
111	Your shield defense has succeeded.
112	You may no longer adjust items in the trade because the trade has been confirmed.
113	$s1 cannot be used due to unsuitable terms.
114	You have entered the shadow of the Mother Tree.
115	You have left the shadow of the Mother Tree.
116	You have entered a peaceful zone.
117	You have left the peaceful zone.
118	You have requested a trade with $c1
119	$c1 has denied your request to trade.
120	You begin trading with $c1.
121	$c1 has confirmed the trade.
122	You may no longer adjust items in the trade because the trade has been confirmed.
123	Your trade is successful.
124	$c1 has cancelled the trade.
125	Do you wish to exit the game?
126	Do you wish to return to the character select screen?
127	You have been disconnected from the server. Please login again.
128	Your character creation has failed.
129	Your inventory is full.
130	Your warehouse is full.
131	$s1 has logged in.
132	$s1 has been added to your friends list.
133	$s1 has been removed from your friends list.
134	Please check your friends list again.
135	$c1 did not reply to your invitation. Your invitation has been cancelled.
136	You have not replied to $c1's invitation. The offer has been cancelled.
137	There are no more items in the shortcut.
138	Designate shortcut.
139	$c1 has resisted your $s2.
140	Your skill was removed due to a lack of MP.
141	Once the trade is confirmed, the item cannot be moved again.
142	You are already trading with someone.
143	$c1 is already trading with another person. Please try again later.
144	That is the incorrect target.
145	That player is not online.
146	Chatting is now permitted.
147	Chatting is currently prohibited.
148	You cannot use quest items.
149	You cannot pick up or use items while trading.
150	You cannot discard or destroy an item while trading at a private store.
151	That is too far from you to discard.
152	You have invited the wrong target.
153	$c1 is on another task. Please try again later.
154	Only the leader can give out invitations.
155	The party is full.
156	Drain was only 50 percent successful.
157	You resisted $c1's drain.
158	Your attack has failed.
159	You resisted $c1's magic.
160	$c1 is a member of another party and cannot be invited.
161	That player is not currently online.
162	Warehouse is too far.
163	You cannot destroy it because the number is incorrect.
164	Waiting for another reply.
165	You cannot add yourself to your own friend list.
166	Friend list is not ready yet. Please register again later.
167	$c1 is already on your friend list.
168	$c1 has sent a friend request.
169	Accept friendship 0/1 (1 to accept, 0 to deny)
170	The user who requested to become friends is not found in the game.
171	$c1 is not on your friend list.
172	You lack the funds needed to pay for this transaction.
173	You lack the funds needed to pay for this transaction.
174	That person's inventory is full.
175	That skill has been de-activated as HP was fully recovered.
176	That person is in message refusal mode.
177	Message refusal mode.
178	Message acceptance mode.
179	You cannot discard those items here.
180	You have $s1 day(s) left until deletion. Do you wish to cancel this action?
181	Cannot see target.
182	Do you want to quit the current quest?
183	There are too many users on the server. Please try again later
184	Please try again later.
185	You must first select a user to invite to your party.
186	You must first select a user to invite to your clan.
187	Select user to expel.
188	Please create your clan name.
189	Your clan has been created.
190	You have failed to create a clan.
191	Clan member $s1 has been expelled.
192	You have failed to expel $s1 from the clan.
193	Clan has dispersed.
194	You have failed to disperse the clan.
195	Entered the clan.
196	$s1 declined your clan invitation.
197	You have withdrawn from the clan.
198	You have failed to withdraw from the $s1 clan.
199	You have recently been dismissed from a clan. You are not allowed to join another clan for 24-hours.
200	You have withdrawn from the party.
201	$c1 was expelled from the party.
202	You have been expelled from the party.
203	The party has dispersed.
204	Incorrect name. Please try again.
205	Incorrect character name. Please try again.
206	Please enter the name of the clan you wish to declare war on.
207	$s2 of the clan $s1 requests declaration of war. Do you accept?
208	Please include file type when entering file path.
209	The size of the image file is inappropriate. Please adjust to 16*12
210	Cannot find file. Please enter precise path.
211	You may only register a 16 x 12 pixel, 256-color BMP.
212	You are not a clan member and cannot perform this action.
213	Not working. Please try again later.
214	Your title has been changed.
215	War with the $s1 clan has begun.
216	War with the $s1 clan has ended.
217	You have won the war over the $s1 clan!
218	You have surrendered to the $s1 clan.
219	Your clan leader has died. You have been defeated by the $s1 clan.
220	You have $s1 minutes left until the clan war ends.
221	The time limit for the clan war is up. War with the $s1 clan is over.
222	$s1 has joined the clan.
223	$s1 has withdrawn from the clan.
224	$s1 did not respond: Invitation to the clan has been cancelled.
225	You didn't respond to $s1's invitation: joining has been cancelled.
226	The $s1 clan did not respond: war proclamation has been refused.
227	Clan war has been refused because you did not respond to $s1 clan's war proclamation.
228	Request to end war has been denied.
229	You do not meet the criteria in order to create a clan.
230	You must wait 10 days before creating a new clan.
231	After a clan member is dismissed from a clan, the clan must wait at least a day before accepting a new member.
232	After leaving or having been dismissed from a clan, you must wait at least a day before joining another clan.
233	
234	The target must be a clan member.
235	You are not authorized to bestow these rights.
236	Only the clan leader is enabled.
237	The clan leader could not be found.
238	Not joined in any clan.
239	The clan leader cannot withdraw.
240	Currently involved in clan war.
241	Leader of the $s1 Clan is not logged in.
242	You must select a target
243	You cannot declare war on an allied clan.
244	You are not allowed to issue this challenge.
245	5 days has not passed since you were refused war. Do you wish to continue?
246	That clan is currently at war.
247	You have already been at war with the $s1 clan: 5 days must pass before you can challenge this clan again
248	You cannot proclaim war: the $s1 clan does not have enough members.
249	Do you wish to surrender to the $s1 clan?
250	You have personally surrendered to the $s1 clan. 
251	You cannot proclaim war: you are at war with another clan.
252	Enter the clan name to surrender to.
253	Enter the name of the clan you wish to end the war with.
254	A clan leader cannot personally surrender.
255	The $s1 clan has requested to end war. Do you agree?
256	Enter title
257	Do you offer the $s1 clan a proposal to end the war?
258	You are not involved in a clan war.
259	Select clan members from list.
260	Fame level has decreased: 5 days have not passed since you were refused war
261	Clan name is invalid.
262	Clan name's length is incorrect.
263	You have already requested the dissolution of your clan.
264	You cannot dissolve a clan while engaged in a war.
265	You cannot dissolve a clan during a siege or while protecting a castle.
266	You cannot dissolve a clan while owning a clan hall or castle.
267	There are no requests to disperse.
268	That player already belongs to another clan.
269	You cannot dismiss yourself.
270	You have already surrendered.
271	A player can only be granted a title if the clan is level 3 or above
272	A clan crest can only be registered when the clan's skill level is 3 or above.
273	A clan war can only be declared when a clan's skill level is 3 or above.
274	Your clan's skill level has increased.
275	Clan has failed to increase skill level.
276	You do not have the necessary materials or prerequisites to learn this skill.
277	You have earned $s1.
278	You do not have enough SP to learn this skill.
279	You do not have enough adena.
280	You do not have any items to sell.
281	You do not have enough adena to pay the fee.
282	You have not deposited any items in your warehouse.
283	You have entered a combat zone.
284	You have left a combat zone.
285	Clan $s1 has succeeded in engraving the ruler!
286	Your base is being attacked.
287	The opposing clan has stared to engrave to monument!
288	The castle gate has been broken down.
289	An outpost or headquarters cannot be built because at least one already exists.
290	You cannot set up a base here.
291	Clan $s1 is victorious over $s2's castle siege!
292	$s1 has announced the castle siege time.
293	The registration term for $s1 has ended.
294	Because your clan is not currently on the offensive in a Clan Hall siege war, it cannot summon its base camp.
295	$s1's siege was canceled because there were no clans that participated.
296	You received $s1 damage from taking a high fall.
297	You have taken $s1 damage because you were unable to breathe.
298	You have dropped $s1.
299	$c1 has obtained $s3 $s2.
300	$c1 has obtained $s2.
301	$s2 $s1 has disappeared.
302	$s1 has disappeared.
303	Select item to enchant.
304	Clan member $s1 has logged into game.
305	The player declined to join your party.
309	You have succeeded in expelling the clan member.
311	The clan war declaration has been accepted.
312	The clan war declaration has been refused.
313	The cease war request has been accepted.
319	This door cannot be unlocked.
320	You have failed to unlock the door.
321	It is not locked.
322	Please decide on the sales price.
323	Your force has increased to $s1 level.
324	Your force has reached maximum capacity.
325	The corpse has already disappeared.
326	Select target from list.
327	You cannot exceed 80 characters.
328	Please input title using less than 128 characters.
329	Please input content using less than 3000 characters.
330	A one-line response may not exceed 128 characters.
331	You have acquired $s1 SP.
332	Do you want to be restored?
333	You have received $s1 damage by Core's barrier.
334	Please enter your private store display message.
335	$s1 has been aborted.
336	You are attempting to crystallize $s1. Do you wish to continue?
337	The soulshot you are attempting to use does not match the grade of your equipped weapon.
338	You do not have enough soulshots for that.
339	Cannot use soulshots.
340	Your private store is now open for business.
341	You do not have enough materials to perform that action.
342	Power of the spirits enabled.
343	Sweeper failed, target not spoiled.
344	Power of the spirits disabled.
345	Chat enabled.
346	Chat disabled.
347	Incorrect item count.
348	Incorrect item price.
349	Private store already closed.
350	Item out of stock.
351	Incorrect item count.
354	Cancel enchant.
355	Inappropriate enchant conditions.
356	Reject resurrection.
357	It has already been spoiled.
358	$s1 hour(s) until catle siege conclusion.
359	$s1 minute(s) until catle siege conclusion.
360	Castle siege $s1 second(s) left!
361	Over-hit!
362	You have acquired $s1 bonus experience from a successful over-hit.
363	Chat available time: $s1 minute.
364	Enter user's name to search
365	Are you sure?
366	Please select your hair color.
367	You cannot remove that clan character at this time.
368	Equipped +$s1 $s2.
369	You have obtained a +$s1 $s2.
370	Failed to pickup $s1.
371	Acquired +$s1 $s2.
372	Failed to earn $s1.
373	You are trying to destroy +$s1 $s2. Do you wish to continue?
374	You are attempting to crystallize +$s1 $s2. Do you wish to continue?
375	You have dropped +$s1 $s2 .
376	$c1 has obtained +$s2$s3.
377	$S1 $S2 disappeared.
378	$c1 purchased $s2.
379	$c1 purchased +$s2$s3.
380	$c1 purchased $s3 $s2(s).
381	The game client encountered an error and was unable to connect to the petition server.
382	Currently there are no users that have checked out a GM ID.
383	Request confirmed to end consultation at petition server.
384	The client is not logged onto the game server.
385	Request confirmed to begin consultation at petition server.
386	The body of your petition must be more than five characters in length.
387	This ends the GM petition consultation. 
388	Not under petition consultation.
389	our petition application has been accepted. - Receipt No. is $s1.
390	You may only submit one petition (active) at a time.
391	Receipt No. $s1, petition cancelled.
392	Under petition advice.
393	Failed to cancel petition. Please try again later.
394	Starting petition consultation with $c1.
395	Ending petition consultation with $c1.
396	Please login after changing your temporary password.
397	Not a paid account.
398	There is no time left on this account.
400	You are attempting to drop $s1. Dou you wish to continue?
401	You have to many ongoing quests.
402	You do not possess the correct ticket to board the boat.
403	You have exceeded your out-of-pocket adena limit.
404	Your Create Item level is too low to register this recipe.
405	The total price of the product is too high.
406	Petition application accepted.
407	Petition under process.
408	Set Period
409	Set Time-$s1:$s2:$s3
410	Registration Period
411	Registration Time-$s1:$s2:$s3
412	Battle begins in $s1:$s2:$s3
413	Battle ends in $s1:$s2:$s3
414	Standby
415	Under Siege
416	This item cannot be exchanged.
417	$s1 has been disarmed.
418	There is a significant difference between the item's price and its standard price. Please check again.
419	$s1 minute(s) of usage time left.
420	Time expired.
421	Another person has logged in with the same account.
422	You have exceeded the weight limit.
423	You have cancelled the enchanting process.
424	Does not fit strengthening conditions of the scroll.
425	Your Create Item level is too low to register this recipe.
426	Your account has been reported for intentionally not paying the cyber cafe fees.
427	Please contact us.
428	In accordance with company policy, your account has been suspended due to  ...
429	In accordance with company policy, your account has been suspended due to  ...
430	(Doesn't need to translate.)
431	Your account has been suspended ...
432	Your account has been suspended ...
433	Your account has been suspended ...
434	Your account has been suspended ...
435	Your account has been suspended ...
436	Your account has been suspended ...
437	Your account has been suspended ...
438	Your account has been suspended ...
439	Your account has been suspended ...
440	Your account has been suspended ...
441	Your account has been suspended ...
442	Your account has been suspended ...
443	Your account has been suspended ...
444	Your account has been suspended ...
445	(Reference Number Regarding Membership Withdrawal Request: $s1)
446	For more information, please visit the Support Center on the PlayNC website
447	.
448	There is a system error. Please log in again later.
449	The password you have entered is incorrect.
450	Confirm your account information and log in later.
451	The password you have entered is incorrect.
452	Please confirm your account information and try logging in later.
453	Your account information is incorrect.
454	For more details, please contact our customer service center at http://support.plaync.com.
455	Account is already in use. Unable to log in.
456	Lineage II game services may be used by individuals 15 years of age or older except for PvP servers,which may only be used by adults 18 years of age and older (Korea Only)
457	Currently undergoing game server maintenance. Please log in again later.
458	Your usage term has expired.
459	PlayNC website (http://www.plaync.com/us/support/)
460	to reactivate your account.
461	Access failed.
461	Please try again later.
463	.
464	This feature is only available alliance leaders.
465	You are not currently allied with any clans.
466	You have exceeded the limit.
467	You may not accept any clan within a day after expelling another clan.
468	A clan that has withdrawn or been expelled cannot enter 
469	You may not ally with a clan you are currently at war with. 
470	Only the clan leader may apply for withdrawal from the alliance.
471	Alliance leaders cannot withdraw.
472	You cannot expel yourself from the clan.
473	Different alliance.
474	That clan does not exist.
475	Different alliance.
476	Please adjust the image size to 8x12.
477	No response. Invitation to join an alliance has been cancelled.
478	No response. Your entrance to the alliance has been cancelled.
479	$s1 has joined as a friend.
480	Please check your friend list.
481	$s1 has been deleted from your friends list.
482	You cannot add yourself to your own friend list.
483	This function is inaccessible right now. Please try again later.
484	This player is already registered in your friends list.
485	No new friend invitations may be accepted.
486	The following user is not in your friends list.
487	Err:510
488	$s1 (Currently: Online)
489	$s1 (Currently: Offline)
490	Err:510
491	Err:510
492	Alliance Name: $s1
493	Connection: $s1 / Total $s2
494	Alliance Leader: $s2 of $s1
495	Affiliated clans: Total $s1 clan(s)
496	Err:510
497	Clan Name: $s1
498	Clan Leader: $s1
499	Clan Level: $s1
500	------------------------
501	Err:510
502	You already belong to another alliance.
503	$s1 (Friend) has logged in.
504	Only clan leaders may create alliances.
505	You cannot create a new alliance within 10 days after dissolution.
506	Incorrect alliance name. Please try again.
507	Incorrect length for an alliance name.
508	This alliance name already exists.
509	Cannot accept. clan ally is registered as an enemy during siege battle.
510	You have invited someone to your alliance.
511	You must first select a user to invite.
512	Do you really wish to withdraw from the alliance?
513	Enter the name of the clan you wish to expel.
514	Do you really wish to dissolve the alliance?
515	Enter a file name for the alliance crest.
516	$s1 has invited you to be their friend.
517	You have accepted the alliance.
518	You have failed to invite a clan into the alliance.
519	You have withdrawn from the alliance.
520	You have failed to withdraw from the alliance.
521	You have succeeded in expelling a clan.
522	You have failed to expel a clan.
523	The alliance has been dissolved.
524	You have failed to dissolve the alliance.
525	You have succeeded in inviting a friend to your friends list.
526	You have failed to add a friend to your friends list.
527	$s1 leader, $s2, has requested an alliance.
528	Unable to find file at target location.
529	You may only register an 8 x 12 pixel, 256-color BMP.
530	The Spiritshot does not match the weapon's grade.
531	You do not have enough Spiritshots for that.
532	You may not use Spiritshots.
533	Power of Mana enabled.
534	Power of Mana disabled.
535	Enter a name for your pet.
536	How much adena do you wish to transfer to your Inventory?
537	How much will you transfer?
538	Your SP has decreased by $s1.
539	Your Experience has decreased by $s1.
540	Clan leaders may not be deleted. Dissolve the clan first and try again.
541	You may not delete a clan member. Withdraw from the clan first and try again.
542	The NPC server is currently down. Pets and servitors cannot be summoned at this time.
543	You already have a pet.
544	Your pet cannot carry this item.
545	Your pet cannot carry any more items. Remove some, then try again.
546	Unable to place item, your pet is too encumbered.
547	Summoning your pet.
548	Your pet's name can be up to 8 characters in length.
549	To create an alliance, your clan must be Level 5 or higher.
550	You may not create an alliance during the term of dissolution postponement.
551	You cannot raise your clan level during the term of dispersion postponement.
552	During the grace period for dissolving a clan, the registration or deletion of a clan's crest is not allowed.
553	The opposing clan has applied for dispersion.
554	You cannot disperse the clans in your alliance.
555	You cannot move - you are too encumbered
556	You cannot move in this state
557	Your pet has been summoned and may not be destroyed
558	Your pet has been summoned and may not be let go.
559	You have purchased $s2 from $c1.
560	You have purchased +$s2 $s3 from $c1.
561	You have purchased $s3 $s2(s) from $c1.
562	You may not crystallize this item. Your crystallization skill level is too low.
563	Failed to disable attack target.
564	Failed to change attack target.
565	Not enough luck.
566	Your confusion spell failed.
567	Your fear spell failed.
568	Cubic Summoning failed.
569	Caution -- this item's price greatly differs from non-player run shops. Do you wish to continue?
570	How many $s1(s) do you want to purchase?
571	How many $s1(s) do you want to purchase?
572	Do you accept $c1's party invitation? (Item Distribution: Finders Keepers.)
573	Do you accept $c1's party invitation? (Item Distribution: Random.)
574	Pets and Servitors are not available at this time.
575	How much adena do you wish to transfer to your pet?
576	How much do you wish to transfer?
577	You cannot summon during a trade or while using the private shops.
578	You cannot summon during combat.
579	A pet cannot be sent back during battle.
580	You may not use multiple pets or servitors at the same time.
581	There is a space in the name.
582	Inappropriate character name.
583	Name includes forbidden words.
584	This is already in use by another pet.
585	Please decide on the price.
586	Pet items cannot be registered as shortcuts.
587	Irregular system speed.
588	Your pet's inventory is full.
589	A dead pet cannot be sent back.
590	Your pet is motionless and any attempt you make to give 
591	An invalid character is included in the pet's name.
592	Do you wish to dismiss your pet? Dismissing your pet will cause the pet necklace to disappear
593	Starving, grumpy and fed up, your pet has left.
594	You may not restore a hungry pet.
595	Your pet is very hungry.
596	Your pet ate a little, but is still hungry.
597	Your pet is very hungry. Please be careful.
598	You may not chat while you are invisible.
599	The GM has an important notice. Chat has been temporarily disabled.
600	You may not equip a pet item.
601	There are $S1 petitions currently on the waiting list.
602	The petition system is currently unavailable. Please try again later.
603	That item cannot be discarded or exchanged.
604	You may not call forth a pet or summoned creature from this location
605	You may register  up to 64 people on your list.
606	You cannot be registered because the other person has already registered 64 people on his/her list.
607	You do not have any further skills to learn. Come back when you have reached Level $s1.
608	$c1 has obtained $s3 $s2 by using Sweeper.
609	$c1 has obtained $s2 by using Sweeper.
610	Your skill has been canceled due to lack of HP.
611	You have succeeded in Confusing the enemy.
612	The Spoil condition has been activated.
613	Err:510
614	$c1 : $c2
615	You have failed to register the user to your Ignore List.
616	You have failed to delete the character.
617	$s1 has been added to your Ignore List.
618	$s1 has been removed from your Ignore List.
619	$s1 has placed you on his/her Ignore List.
620	$s1 has placed you on his/her Ignore List.
621	Game connection attempted through a restricted IP.
622	You may not make a declaration of war during an alliance battle.
623	Your opponent has exceeded the number of simultaneous alliance battles alllowed.
624	$s1 Clan leader is not currently connected to the game server.
625	Your request for Alliance Battle truce has been denied.
626	The $s1 clan did not respond: war proclamation has been refused.
627	Clan battle has been refused because you did not respond to $s1 clan's war proclamation.
628	You have already been at war with the $s1 clan: 5 days must pass before you can declare war again.
629	Your opponent has exceeded the number of simultaneous alliance battles alllowed.
630	War with the clan has begun.
631	War with the clan is over.
632	You have won the war over the clan!
633	You have surrendered to the clan.
634	Your alliance leader has been slain. You have been defeated by the clan.
635	The time limit for the clan war has been exceeded. War with the clan is over.
636	You are not involved in a clan war.
637	A clan ally has registered itself to the opponent.
638	You have already requested a Siege Battle.
639	Your application has been denied because you have already submitted a request for another Siege Battle.
642	You are already registered to the attacker side and must not cancel your registration before submitting your request
643	You are already registered to the defender side and must not cancel your registration before submitting your request
644	You are not yet registered for the castle siege.
645	Only clans of level 5 or higher may register for a castle siege.
648	No more registrations may be accepted for the attacker side.
649	No more registrations may be accepted for the defender side.
650	You may not summon from your current location.
651	Place  in the current location and direction. Do you wish to continue?
652	The target of the summoned monster is wrong.
653	You do not have the authority to position mercenaries.
654	You do not have the authority to cancel mercenary positioning.
655	Mercenaries cannot be positioned here.
656	This mercenary cannot be positioned anymore.
657	Positioning cannot be done here because the distance between mercenaries is too short.
658	This is not a mercenary of a castle that you own and so you cannot cancel its positioning.
659	This is not the time for siege registration and so registrations cannot be accepted or rejected.
659	This is not the time for siege registration and so registration and cancellation cannot be done.
661	This character cannot be spoiled.
662	The other player is rejecting friend invitations.
664	Please choose a person to receive.
665	 of alliance is applying for alliance war. Do you want to accept the challenge?
666	 A request for ceasefire has been received from alliance. Do you agree?
667	 You are registering on the attacking side of the siege. Do you want to continue?
668	 You are registering on the defending side of the siege. Do you want to continue?
669	 You are canceling your application to participate in the siege battle. Do you want to continue?
670	 You are refusing the registration of clan on the defending side. Do you want to continue?
671	 You are agreeing to the registration of clan on the defending side. Do you want to continue?
672	$s1 adena disappeared.
673	Only a clan leader whose clan is of level 2 or higher is allowed to participate in a clan hall auction.
674	I has not yet been seven days since canceling an auction.
675	There are no clan halls up for auction.
676	Since you have already submitted a bid, you are not allowed to participate in another auction at this time.
677	Your bid price must be higher than the minimum price that can be bid.
678	You have submitted a bid in the auction of .
679	You have canceled your bid.
680	You cannot participate in an auction.
681	The clan does not own a clan hall.
683	There are no priority rights on a sweeper.
684	You cannot position mercenaries during a siege.
685	You cannot apply for clan war with a clan that belongs to the same alliance
686	You have received $s1 damage from the fire of magic.
687	You cannot move while frozen. Please wait.
688	The clan that owns the castle is automatically registered on the defending side.
689	A clan that owns a castle cannot participate in another siege.
690	You cannot register on the attacking side because you are part of an alliance with the clan that owns the castle.
691	$s1 clan is already a member of $s2 alliance.
692	The other party is frozen. Please wait a moment.
693	The package that arrived is in another warehouse.
694	No packages have arrived.
695	You cannot set the name of the pet.
696	Your account is restricted for not paying your PC room usage fees.
697	The item enchant value is strange
698	The price is different than the same item on the sales list.
699	Currently not purchasing.
700	The purchase is complete.
701	You do not have enough required items.
702	There are no GMs 
703	Err:510
704	GM : $c1
705	You cannot exclude yourself.
706	You can only register up to 64 names on your exclude list.
707	You cannot teleport to a village that is in a siege.
708	You do not have the right to use the castle warehouse.
709	You do not have the right to use the clan warehouse.
710	Only clans of clan level 1 or higher can use a clan warehouse.
711	The siege of $s1 has started.
712	The siege of $s1 has finished.
713	$s1/$s2/$s3 :
714	A trap device has been tripped.
715	A trap device has been stopped.
716	If a base camp does not exist, resurrection is not possible.
717	The guardian tower has been destroyed and resurrection is not possible
718	The castle gates cannot be opened and closed during a siege.
719	You failed at mixing the item.
720	The purchase price is higher than the amount 
721	You cannot create an alliance while participating in a siege.
722	You cannot dissolve an alliance while an affiliated clan is participating in a siege battle.
723	The opposing clan is participating in a siege battle.
724	You cannot leave while participating in a siege battle.
725	You cannot banish a clan from an alliance while the clan is participating in a siege
726	Frozen condition has started. Please wait a moment.
727	The frozen condition was removed.
728	You cannot apply for dissolution again within seven days after a previous application for dissolution.
729	That item cannot be discarded.
730	- You have submitted your $s1th petition. - You may submit $s2 more petition(s) today.
731	A petition has been received by the GM on behalf of $s1. The petition code is $s2.
732	$c1 has received a request for a consultation with the GM.
733	We have received $s1 petitions from you today and that is 
734	You have failed at submitting a petition on behalf of someone else.
735	You have failed at submitting a petition on behalf of $c1.
736	The petition was canceled. You may submit $s1 more petition(s) today.
737	You have cancelled submitting a petition on behalf of $s1.
738	You have not submitted a petition.
739	You have failed at cancelling a petition on behalf of $c1.
740	$c1 participated in a petition chat at the request of the GM.
741	You have failed at adding $c1 to the petition chat. Petition has already been submitted.
742	You have failed at adding $c1 to the petition chat.
743	$c1 left the petition chat.
744	You have failed at removing $s1 from the petition chat.
745	You are currently not in a petition chat.
746	It is not currently a petition.
747	If you need help, please visit the Support Center on the PlayNC website
748	The distance is too far and so the casting has been stopped.
749	The effect of $s1 has been removed.
750	There are no other skills to learn.
751	As there is a conflict in the siege relationship with a clan in the alliance, you cannot invite that clan to the alliance.
752	That name cannot be used.
753	You cannot position mercenaries here.
754	There are $s1 hours and $s2 minutes left in this week's usage time.
755	There are $s1 minutes left in this week's usage time.
756	This week's usage time has finished.
757	There are $s1 hours and $s2 minutes left in the fixed use time.
758	There are $s1 hours and $s2 minutes left in this week's play time.
759	There are $s1 minutes left in this week's play time.
760	$c1 cannot join the clan because one day has not yet passed since he/she left another clan. 
761	$s1 clan cannot join the alliance because one day has not yet 
762	$c1 rolled $s2 and $s3's eye came out.
763	You failed at sending the package because you are too far from the warehouse.
764	You have been playing for an extended period of time. Please consider taking a break.
765	GameGuard is already running. Please try running it again after rebooting.
766	There is a GameGuard initialization error. Please try running it again after rebooting.
767	The GameGuard file is damaged. Please reinstall GameGuard.
768	A Windows system file is damaged. Please reinstall Internet Explorer.
769	A hacking tool has been discovered. Please try again after closing unnecessary programs.
770	The GameGuard update was canceled. Please check your network connection status or firewall.
771	The GameGuard update was canceled. Please try running it again after
772	There was a problem when running GameGuard.
773	The game or GameGuard files are damaged.
774	Play time is no longer accumulating.
775	From here on, play time will be expended.
776	The clan hall which was put up for auction has been awarded to  clan.
777	The clan hall which was put up for auction was not sold and therefore has been re-listed.
778	You may not log out from this location.
779	You may not restart in this location.
780	Observation is only possible during a siege.
781	Observers cannot participate.
782	You may not observe a siege with a pet or servitor summoned.
783	Lottery ticket sales have been temporarily suspended.
784	Tickets for the current lottery are no longer available.
785	The results of lottery number $s1 have not yet been published.
786	Incorrect syntax.
787	The tryouts are finished.
788	The finals are finished.
789	The tryouts have begun.
790	The finals are finished.
791	The final match is about to begin. Line up!
792	The siege of the clan hall is finished.
793	The siege of the clan hall has begun.
794	You are not authorized to do that.
795	Only clan leaders are authorized to set rights.
796	Your remaining observation time is  minutes.
797	You may create up to 48 macros.
798	Item registration is irreversible. Do you wish to continue?
799	The observation time has expired.
800	You are too late. The registration period is over.
801	Registration for the clan hall siege is closed.
802	Petitions are not being accepted at this time. You may submit your petition after a.m./p.m.
803	Enter the specifics of your petition.
804	Select a type.
805	Petitions are not being accepted at this time. You may submit your petition after $s1 a.m./p.m.
